SSC_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
SSC10138,56,1200,525,285,1125,0.7,1041,2.2
SSC10139,53,1625,662,0,1125,0.8,1124,2
SSC10140,60,0,417,0,0,0.5,424,1
SSC10141,64,0,575,0,1187,0,1125,2
SSC10142,54,800,787,75,1687,0.7,1562,1.8
SSC10143,42,1789,602,380,1437,0.8,1213,2.7
SSC10144,52,1100,556,25,1333,0.7,1042,2.2
SSC10145,41,1750,548,368,1362,0.8,1153,2.5
SSC10146,38,0,660,0,1312,0.8,1124,2.1
SSC10147,45,1700,653,350,1421,0.7,1347,2.5
SSC10148,39,0,450,0,0,0.3,1093,1
SSC10149,62,0,424,0,0,0.5,0,2
SSC10150,51,1387,612,0,1624,0.6,1458,1.9
SSC10151,38,217,566,50,1100,0.7,1100,2.7
SSC10152,42,0,589,0,1292,0.7,1125,2.5
SSC10153,39,3000,1088,580,2803,0.9,2261,2.5
SSC10154,41,4292,1139,1100,4004,0.8,3726,3.2
SSC10155,43,2167,636,375,1924,0.8,1558,2.6
SSC10156,37,0,383,0,1875,0,1625,3.7
SSC10157,49,1600,479,0,1375,0.7,1281,2.5
SSC10158,59,0,574,0,0,0.2,824,1.6
SSC10159,48,997,642,0,1458,0.7,1093,2.2
SSC10160,37,1733,491,300,1416,1,1416,2.8
SSC10161,44,1278,624,240,1562,0.8,1281,2.5
SSC10162,55,1517,515,295,1166,0.7,819,1.9
SSC10163,31,0,833,0,0,0,0,0
SSC10164,40,3000,1342,600,3673,1,2550,2.3
SSC10165,43,3500,1315,580,3521,0.9,2485,2.2
SSC10166,42,1800,667,350,1692,0.8,1543,2.6
SSC10167,45,2167,630,330,1895,0.9,1678,2.8
SSC10168,45,858,577,150,1375,0.8,1057,2.4
SSC10169,47,0,450,0,1624,1,1625,4
SSC10170,0,0,0,0,0,0,0,0
SSC10171,48,1733,570,93,1531,0.7,1375,2.7
SSC10172,25,0,449,0,1649,0,1649,0
SSC10173,50,2065,704,300,2134,0.7,1916,2.5
SSC10174,43,1800,691,500,1710,0.8,1401,2.6
SSC10175,48,0,612,0,2125,1.3,1062,2.4
SSC10176,49,2492,919,0,2166,0.6,2139,2.3
SSC10177,42,2500,848,598,2418,0.8,2289,3
SSC10178,38,2383,652,480,1694,1,1685,3
SSC10179,46,0,1031,0,0,0,0,0
SSC10180,32,1733,453,400,1181,1.2,1120,3.1
SSC10181,0,0,0,0,0,0,0,0
SSC10182,52,1100,374,0,900,0.7,774,1.6
SSC10183,49,1302,766,190,2036,0.6,1562,2.9
SSC10184,60,0,664,0,749,0.6,665,1.6
SSC10185,50,1733,538,360,1329,0.7,1080,2.4
SSC10186,55,1300,406,0,1124,1.2,949,2.6
SSC10187,39,2435,867,300,3022,0.8,1719,2.1
SSC10188,52,1582,519,200,1562,0.8,833,1.5
SSC10189,46,0,379,0,1125,0.8,725,1
SSC10190,49,758,453,140,1047,0.7,771,2.2
SSC10191,36,3500,1875,1200,3874,1,3661,1.9
SSC10192,0,0,0,0,0,0,0,0
SSC10193,37,2383,849,615,2775,0.9,2772,3.5
SSC10194,29,2405,919,500,2150,0.9,2187,3.3
SSC10195,41,2257,770,500,2216,0.9,1992,2.9
SSC10196,40,2288,645,490,1984,0.9,1684,2.9
SSC10197,44,693,605,125,1468,0.7,1154,2.4
SSC10198,40,2080,638,360,1686,0.8,1485,2.9
SSC10199,56,1083,495,150,1181,0.7,835,2
SSC10200,66,0,466,0,0,0,0,1
SSC10201,45,680,418,138,662,0.9,575,2.2
SSC10202,42,650,430,120,972,0.8,808,2.5
SSC10203,0,0,0,0,0,0,0,0
SSC10204,36,1700,627,340,1536,0.8,1402,2.8
SSC10205,44,1344,607,215,1332,0.8,1079,2.4
SSC10206,55,650,442,155,986,0.7,737,2
SSC10207,40,1647,516,320,1285,0.8,1088,2.6
SSC10208,45,2167,655,340,1778,0.9,1342,2.5
SSC10209,55,1647,437,200,1125,0.7,850,2.6
SSC10210,59,905,597,208,1625,0.8,1187,2.2
SSC10211,0,0,0,0,0,0,0,0
SSC10212,0,0,0,0,0,0,0,0
SSC10213,44,2167,634,200,1687,0.9,1375,2.7
SSC10214,45,0,450,0,0,1,900,0
SSC10215,43,0,575,0,1375,0.8,1012,2.3
SSC10216,56,1733,501,233,1172,0.7,1070,2.3
SSC10217,0,0,0,0,0,0,0,0
SSC10218,44,1395,660,160,1656,0.9,1281,2.7
SSC10219,43,0,0,0,0,0,0,0
SSC10220,45,1300,1023,0,2062,0.6,1792,2.8
SSC10221,43,0,612,0,2999,0.5,899,2.1
SSC10222,40,0,448,0,849,0.5,575,2
SSC10223,45,1317,495,300,1236,0.8,970,2.5
SSC10224,34,2080,469,380,1396,1,1225,3.2
SSC10225,0,0,0,0,0,0,0,0
SSC10226,53,1600,514,0,1166,0.6,1031,2.5
SSC10227,44,1820,583,340,1589,0.8,1245,2.5
SSC10228,54,1509,483,265,1130,0.7,901,2
SSC10229,53,1300,459,230,908,0.8,703,1.8
SSC10230,46,2167,825,0,2083,0.7,1999,3.2
SSC10231,36,1500,598,260,1385,0.8,1029,2
SSC10232,50,1001,528,150,1262,0.7,928,2.2
SSC10233,38,2300,794,520,2269,0.9,2107,3
SSC10234,48,1939,708,350,1449,0.7,1442,2.6
SSC10235,55,1300,502,280,1304,0.7,1025,2.1
SSC10236,0,0,0,0,0,0,0,0
SSC10237,56,3000,775,500,2457,0.8,1476,2.3
SSC10238,40,2900,794,736,2417,0.9,2369,3.2
SSC10239,34,2455,1197,623,2767,1,2330,2.3
SSC10240,55,520,459,0,1124,0.8,780,2.3
SSC10241,50,0,624,0,1325,0.6,1275,2.4
SSC10242,57,950,774,0,2042,0.7,1875,2.3
SSC10243,35,2600,894,655,2734,0.8,2787,3.6
SSC10244,41,560,675,0,1812,0.8,1375,3
SSC10245,47,1733,623,270,1731,0.7,1583,2.6
SSC10246,35,0,608,40,1375,0.7,1312,2
SSC10247,42,715,687,0,1541,0.8,1281,2.3
SSC10248,46,1517,495,270,1229,0.8,1093,2.7
SSC10249,43,3000,906,595,2865,0.8,2598,3.1
SSC10250,0,0,0,0,0,0,0,0
SSC10251,37,1380,712,231,1481,0.8,1368,2.6
SSC10252,28,0,525,0,0,0,0,0
SSC10253,43,1357,541,270,1261,0.8,974,2.3
SSC10254,36,1600,1078,0,1916,0.8,1875,3.4
SSC10255,46,0,949,0,3749,1,2750,2
SSC10256,54,1600,445,220,1292,0.7,949,2
SSC10257,39,2378,548,430,1675,1,1440,2.9
SSC10258,36,2184,780,260,2528,0.9,2416,3.2
SSC10259,49,0,479,0,900,0.3,762,1.6
SSC10260,38,2000,949,250,2166,0.8,1968,3.1
SSC10261,41,2167,732,400,2012,0.9,1980,3.2
SSC10262,46,1272,319,0,899,0.8,899,2.5
SSC10263,38,2700,842,710,2873,0.8,2942,3.5
SSC10264,40,1842,481,215,1201,0.8,924,2.4
SSC10265,51,1601,508,160,1281,0.8,1062,2.4
SSC10266,37,869,694,92,1525,0.8,1218,2.5
SSC10267,60,1618,900,0,2291,0.7,2166,2.4
SSC10268,36,1517,516,280,1331,0.8,1175,2.7
SSC10269,40,1560,655,310,1579,0.8,1368,2.6
SSC10270,50,1000,422,150,907,0.9,740,2.1
SSC10271,37,3000,1318,625,3619,0.9,2892,2.5
SSC10272,40,1517,563,245,1267,0.9,1093,2.5
SSC10273,43,1430,534,320,1230,0.8,1032,2.5
SSC10274,46,2300,977,390,3416,0.7,2750,2.6
SSC10275,43,0,1083,200,2249,0.5,1666,1.6
SSC10276,46,1842,565,295,1488,0.8,1040,2.3
SSC10277,40,1734,606,350,1654,0.8,1409,2.7
SSC10278,44,1700,511,250,1254,0.8,1026,2.3
SSC10279,37,2000,504,360,1339,1.1,1192,2.8
SSC10280,43,1733,512,250,1231,0.9,1073,2.7
SSC10281,45,0,762,0,1875,0.6,1749,2
SSC10282,60,0,537,0,0,0,900,2
SSC10283,45,3000,764,820,2491,0.8,2117,2.9
SSC10284,51,1192,492,170,1098,0.8,870,2.1
SSC10285,48,2012,616,0,2062,0.7,2041,2.5
SSC10286,53,867,597,128,1292,0.7,1050,2.1
SSC10287,55,1422,483,150,1041,0.6,739,2
SSC10288,57,4333,445,260,933,0.8,825,1.9
SSC10289,49,1000,511,150,1273,0.8,905,2.2
SSC10290,50,1083,560,200,1274,0.7,924,2.3
SSC10291,39,1864,504,258,1125,0.8,942,2.6
SSC10292,50,1434,628,0,1333,1,1124,2
SSC10293,35,1733,693,0,1812,0.7,1218,2.5
SSC10294,32,0,575,250,1874,0,1187,3
SSC10295,60,0,449,0,0,0.8,749,2
SSC10296,33,0,641,0,1458,1.3,1875,4
SSC10297,40,2000,707,400,2037,0.8,1960,3.1
SSC10298,51,1083,463,225,1093,0.8,985,2.6
SSC10299,34,1733,472,380,1317,1.1,1319,3.2
SSC10300,44,2234,700,380,2050,0.9,1812,2.5
SSC10301,40,1400,547,300,1269,0.8,1032,2.4
SSC10302,49,1854,584,0,1774,0.8,1395,2.5
SSC10303,39,1603,479,230,1339,0.9,1059,2.6
SSC10304,38,1733,651,370,1651,0.8,1397,2.7
SSC10305,34,2406,650,400,1775,0.9,1716,3.5
SSC10306,0,0,0,0,0,0,0,0
SSC10307,56,1300,493,235,1116,0.7,843,2.1
SSC10308,39,2331,850,550,2511,0.8,2355,3.1
SSC10309,58,0,537,0,0,0,0,3
SSC10310,40,2383,824,550,2334,0.8,2138,3
SSC10311,56,1500,389,0,1274,0.8,749,2
SSC10312,52,1387,524,260,1156,0.7,913,2.1
SSC10313,54,1100,476,250,991,0.8,891,2.3
SSC10314,45,1261,680,0,1437,0.7,1375,2.4
SSC10315,48,0,337,0,0,0.3,725,1.4
SSC10316,44,1192,627,200,1544,0.8,1105,2.3
SSC10317,47,0,575,130,1042,0.9,900,2.8
SSC10318,52,867,499,134,1288,0.7,880,2.1
SSC10319,44,2550,687,300,2250,0.9,2143,3.3
SSC10320,52,2167,722,400,1767,0.7,1548,2.5
SSC10321,51,0,725,230,2250,0.6,1399,1.9
SSC10322,56,1875,617,370,1638,0.7,1252,2.3
SSC10323,42,1000,665,0,1625,0.8,1562,2.3
SSC10324,67,0,450,0,474,0.6,1249,2
SSC10325,46,1798,615,130,2062,0.7,1937,2.5
SSC10326,42,0,849,78,1625,0.7,1375,2
SSC10327,44,1200,455,270,1375,1,1312,2.8
SSC10328,53,975,479,0,1281,0.6,725,2.3
SSC10329,53,0,514,0,900,0.3,725,1.3
SSC10330,39,2500,754,550,2103,0.9,1819,2.8
SSC10331,39,2167,589,450,1747,1,1549,2.9
SSC10332,46,1473,602,125,1437,0.7,1187,2.9
SSC10333,42,1950,681,270,1562,0.9,1454,2.7
SSC10334,39,2167,606,450,1739,1,1556,2.9
SSC10335,40,2200,613,430,1836,1,1570,2.8
SSC10336,40,0,725,50,2124,0.6,1375,2.2
SSC10337,49,780,640,0,1375,0.8,1156,2.5
SSC10338,44,400,712,0,2125,0.8,1437,2.3
SSC10339,49,0,833,0,1687,0.6,1874,1.7
SSC10340,29,1517,415,190,889,0.9,798,2.9
SSC10341,54,1860,534,290,1375,0.8,1274,2.3
SSC10342,45,2084,850,0,2250,0.5,1624,1.4
SSC10343,42,2947,850,0,1625,0.8,1874,2.2
SSC10344,58,0,619,0,0,0.3,1124,1
SSC10345,47,1500,584,188,1524,0.8,1187,2.5
SSC10346,55,923,488,50,1093,0.7,866,2.1
SSC10347,44,1801,512,330,1420,0.9,1346,2.8
SSC10348,43,1744,613,370,1437,0.8,1295,2.6
SSC10349,38,1415,716,240,1781,0.8,1442,2.9
SSC10350,53,3467,1307,912,3444,0.7,3277,2.5
SSC10351,44,3100,903,810,2514,0.8,2399,3
SSC10352,45,0,687,0,1958,0.8,1374,3.5
SSC10353,54,0,1074,0,0,0,1374,1
SSC10354,48,780,556,175,1312,0.7,833,2.4
SSC10355,47,1907,588,287,1228,0.9,955,2.5
SSC10356,51,889,359,0,1124,0.8,537,2.1
SSC10357,44,1625,619,250,1468,0.8,1359,2.9
SSC10358,45,1950,656,275,1807,0.9,1455,2.6
SSC10359,0,0,0,0,0,0,0,0
SSC10360,43,2167,665,100,1625,0.8,1562,3
SSC10361,38,1733,642,350,1437,0.8,1228,2
SSC10362,44,1257,641,198,1286,0.7,1104,2.3
SSC10363,46,1300,504,25,1228,0.7,944,2.3
SSC10364,63,0,514,0,1312,0.7,1062,1.8
SSC10365,57,1049,454,165,1031,0.7,760,2
SSC10366,46,0,466,0,1042,0.8,725,2.5
SSC10367,57,1582,505,195,1071,0.7,979,2.2
SSC10368,50,1500,280,0,1062,0.6,900,2.3
SSC10369,37,585,606,50,1333,0.8,1292,2.1
SSC10370,44,1560,711,275,1958,0.7,1786,2.6
SSC10371,42,2167,532,315,1444,0.9,1312,2.7
SSC10372,55,704,391,125,781,0.7,710,2.1
SSC10373,37,1031,807,0,1899,0.8,1449,3.4
SSC10374,43,3000,1515,650,3918,0.9,3225,2.4
SSC10375,57,0,421,0,612,0.5,487,2.2
SSC10376,38,0,725,0,1437,0.7,1312,2.2
SSC10377,26,1517,434,350,1275,0.9,1061,2.6
SSC10378,54,0,474,0,1125,0.8,1062,2.1
SSC10379,35,1948,473,430,1402,1,1373,3.2
SSC10380,45,2167,666,98,2156,0.8,1916,2.8
SSC10381,51,2000,667,150,1542,0.8,1437,2.3
SSC10382,52,2102,593,0,1562,1,1208,1.9
SSC10383,33,0,224,0,725,0,725,5
SSC10384,63,1642,532,300,1225,0.7,990,2
SSC10385,44,2000,746,350,2367,0.8,2166,2.9
SSC10386,59,277,674,0,1125,0.5,1124,2
SSC10387,42,1733,646,200,1764,0.7,1520,2.7
SSC10388,40,1517,695,230,1437,0.8,1321,3
SSC10389,47,1343,575,90,1428,0.7,1312,2.6
SSC10390,42,1625,558,310,1427,0.8,1139,2.5
SSC10391,40,1950,599,370,1619,0.8,1373,2.7
SSC10392,31,1523,478,294,1085,0.9,1018,3
SSC10393,51,1616,606,320,1410,0.7,1077,2.1
SSC10394,47,0,474,0,1375,0.6,1624,2
SSC10395,54,1486,525,227,1343,0.8,900,1.8
SSC10396,48,1733,501,300,1413,0.8,988,2.3
SSC10397,33,1900,615,380,1565,1,1459,3
SSC10398,46,0,659,0,1218,0.6,1224,2.3
SSC10399,44,1759,599,350,1481,0.8,1188,2.3
SSC10400,33,2167,718,450,2105,0.9,2206,3.7
SSC10401,29,1983,681,378,1787,0.9,1850,3.5
SSC10402,49,1751,537,283,1333,0.7,1083,2.6
SSC10403,41,2600,725,500,2322,0.9,2080,3.1
SSC10404,43,1452,725,0,2250,0.9,1333,2.4
SSC10405,36,0,824,0,1187,0.7,1062,1.7
SSC10406,53,1300,656,80,1541,0.6,1166,2
SSC10407,40,2058,783,390,2093,0.8,1814,2.8
SSC10408,54,1517,479,0,1312,0.9,1437,2.5
SSC10409,38,2383,793,500,2151,0.8,2134,3.3
SSC10410,39,1408,558,230,1426,0.7,1089,2.4
SSC10411,31,1950,794,390,1916,0.8,1763,2.9
SSC10412,34,585,661,50,1125,0.7,955,2.8
SSC10413,0,0,0,0,0,0,0,0
SSC10414,50,1925,619,350,1400,0.8,1141,2.1
SSC10415,33,1733,573,370,1400,0.8,1331,2.9
SSC10416,54,1170,435,210,824,1,604,1.8
SSC10417,0,0,0,0,0,0,0,0
SSC10418,51,0,833,0,1499,0,1124,2
SSC10419,42,2334,675,125,2250,0.7,1624,2.1
SSC10420,59,1335,533,315,1100,0.8,819,2.3
SSC10421,46,1800,652,255,1695,0.8,1557,2.8
SSC10422,41,1517,594,350,1312,0.8,1166,2.6
SSC10423,39,0,1125,283,2624,0.6,2250,2.1
SSC10424,45,1545,568,375,1542,0.8,1550,2.8
SSC10425,44,1950,645,400,1690,0.8,1481,2.7
SSC10426,52,0,450,0,0,0,450,0
SSC10427,54,974,464,142,971,0.8,885,2.4
SSC10428,54,1733,412,0,1042,0.7,900,2.2
SSC10429,45,2000,541,235,1478,0.9,1286,2.8
SSC10430,39,0,724,0,1125,1,1125,2
SSC10431,0,0,0,0,0,0,0,0
SSC10432,47,1287,437,0,966,0.8,880,2.5
SSC10433,53,0,358,0,1125,0.7,924,2
SSC10434,50,1300,476,173,1204,0.8,957,2.5
SSC10435,53,867,754,80,1791,0.7,1531,1.9
SSC10436,44,2865,771,85,2437,0.7,2150,2.1
SSC10437,46,0,524,0,0,0,0,0
SSC10438,46,815,409,205,1041,0.7,816,2.5
SSC10439,42,1708,605,360,1550,0.8,1280,2.5
SSC10440,55,1733,410,175,850,0.6,749,1.8
SSC10441,31,800,379,120,873,0.9,919,3
SSC10442,41,1255,571,250,1328,0.7,1162,2.4
SSC10443,0,0,0,0,0,0,0,0
SSC10444,47,1733,691,135,1678,0.9,1642,2.8
SSC10445,49,962,556,240,1312,0.8,1312,2.7
SSC10446,61,0,387,0,900,0.7,833,1.7
SSC10447,47,1200,478,0,933,0.9,900,1.7
SSC10448,33,1907,691,220,1437,0.7,1468,2.6
SSC10449,43,1517,502,225,1198,0.8,1009,2.5
SSC10450,44,1733,743,350,1952,0.7,1706,2.7
SSC10451,36,2121,809,390,2355,0.8,2147,3
SSC10452,0,0,0,0,0,0,0,0
SSC10453,45,1408,505,250,1214,0.7,927,2.2
SSC10454,38,0,900,0,0,0,0,1
SSC10455,45,1049,598,175,1420,0.7,1090,2.2
SSC10456,44,1517,743,125,1774,0.8,1281,2.5
SSC10457,45,2250,926,225,2437,0.7,2166,2.8
SSC10458,49,2383,560,365,1937,0.7,1375,2
SSC10459,47,1647,685,200,2021,0.7,1524,2.7
SSC10460,51,2225,668,0,1812,0.7,1562,2.8
SSC10461,48,3017,849,0,2166,0.8,2166,2.6
SSC10462,45,0,634,0,1187,0.6,1187,2.5
SSC10463,56,650,434,150,864,0.7,725,1.9
SSC10464,33,2600,1103,620,2631,1.1,2175,2.2
SSC10465,33,2708,1241,630,2874,1.1,2253,2.1
SSC10466,0,0,0,0,0,0,0,0
SSC10467,35,2817,1057,630,2488,1,2026,2.2
SSC10468,44,1700,571,360,1359,0.7,1210,2.6
SSC10469,43,2600,959,650,2792,0.8,2706,3
SSC10470,48,1733,588,375,1457,0.7,1264,2.5
SSC10471,36,1900,427,290,1236,1,1196,3.3
SSC10472,35,2000,508,430,1562,1,1679,3.8
SSC10473,35,1289,459,100,1041,0.9,875,2.8
SSC10474,44,1950,583,370,1550,0.8,1453,2.9
SSC10475,47,1300,487,170,1196,0.8,1053,2.3
SSC10476,43,0,774,150,1875,0.6,1625,2.9
SSC10477,55,1733,555,350,1253,0.8,1002,2.1
SSC10478,48,1000,630,60,1343,0.6,1268,2.4
SSC10479,46,0,462,0,1312,1,612,1.6
SSC10480,0,0,0,0,0,0,0,0
SSC10481,51,1589,454,0,1075,0.8,933,2.3
SSC10482,42,1467,589,323,1505,0.8,1187,2.3
SSC10483,36,0,1125,0,0,0,2499,0
SSC10484,41,1109,693,0,1812,0.7,1625,2.6
SSC10485,0,0,0,0,0,0,0,0
SSC10486,41,2167,530,0,1924,1.1,1375,3
SSC10487,44,1378,643,300,1781,0.8,1114,2.3
SSC10488,31,2000,669,75,1875,0.9,1833,3.5
SSC10489,43,858,818,0,1924,0.7,1375,2
SSC10490,66,0,425,0,1624,0.7,962,1.7
SSC10491,39,0,725,0,1562,0,1562,0
SSC10492,39,0,712,0,1125,0.7,1041,2.7
SSC10493,53,0,425,0,0,1,725,1.7
SSC10494,48,1000,615,150,1474,0.7,1333,2.6
SSC10495,45,1521,510,250,1240,0.8,932,2.5
SSC10496,44,2134,601,250,1481,0.8,1406,2.6
SSC10497,46,0,1124,0,1875,0.5,1875,2
SSC10498,55,0,387,0,0,0.3,612,1.7
SSC10499,43,2309,462,50,949,0.9,966,3.2
SSC10500,58,0,374,0,725,1,479,1.5
SSC10501,26,1818,803,395,2125,0.8,2078,3
SSC10502,47,0,545,0,1625,0.7,1312,2.3
SSC10503,48,1172,560,180,1407,0.7,973,2.3
SSC10504,52,1257,512,100,1187,0.7,1062,2.2
SSC10505,0,0,0,0,0,0,0,0
SSC10506,42,1083,687,200,1375,0.9,1125,2.4
SSC10507,39,1430,534,0,1149,1,1196,2.7
SSC10508,52,0,483,120,850,0.6,762,2.1
SSC10509,42,2100,762,130,2150,0.6,1562,2.6
SSC10510,0,0,0,0,0,0,0,0
SSC10511,45,2708,900,240,1968,0.6,1899,2.7
SSC10512,44,644,494,150,1181,0.7,1034,2.4
SSC10513,44,2169,778,180,2118,0.8,1983,2.7
SSC10514,42,2509,739,0,2100,0.8,2049,3.3
SSC10515,39,2000,481,440,1513,1,1511,3.4
SSC10516,44,1133,450,200,1125,0.8,1024,2.8
SSC10517,36,2600,900,520,2290,1.1,2028,2.8
SSC10518,37,1617,762,115,1792,0.9,1374,2.4
SSC10519,42,0,333,0,1125,0,687,1
SSC10520,52,0,0,0,0,0,0,0
SSC10521,32,0,525,0,1625,1,1812,3
SSC10522,34,910,749,150,1635,0.8,1311,2.5
SSC10523,34,1820,860,350,2110,0.7,1912,2.7
SSC10524,46,2167,725,220,1791,0.7,1104,2.3
SSC10525,40,2000,833,0,1666,0.5,1542,1.8
SSC10526,34,1863,744,400,1908,0.9,1797,3.2
SSC10527,41,1748,715,0,1906,0.8,1792,3
SSC10528,35,2000,758,390,1915,0.8,1724,2.9
SSC10529,40,1375,442,167,1096,0.8,787,2.4
SSC10530,46,0,325,0,1166,0.6,1062,1.6
SSC10531,50,1200,529,0,1196,0.7,1073,2.3
SSC10532,48,1750,394,175,949,0.7,900,2.2
SSC10533,30,0,725,0,0,0,1749,0
SSC10534,48,2000,900,0,1812,0.7,1666,2.5
SSC10535,45,1517,714,200,1625,0.7,1389,2.3
SSC10536,52,1950,655,400,1628,0.7,1299,2.3
SSC10537,45,997,440,210,907,0.8,742,2.3
SSC10538,0,0,0,0,0,0,0,0
SSC10539,42,2167,678,500,1865,0.8,1760,3.1
SSC10540,52,740,524,0,1166,0.6,1156,1.9
SSC10541,43,1907,575,260,1583,0.7,1194,2.9
SSC10542,63,1733,472,175,1031,0.8,833,1.9
SSC10543,35,1733,615,360,1510,0.8,1373,2.8
SSC10544,50,1300,697,0,1416,0.6,1333,2.3
SSC10545,33,1950,735,430,1857,0.7,1708,2.8
SSC10546,68,0,518,0,1399,1,575,1.4
SSC10547,46,1700,605,278,1527,0.8,1091,2.3
SSC10548,48,2090,716,150,2130,0.7,2028,2.9
SSC10549,39,1915,675,300,2017,0.8,1678,2.7
SSC10550,50,1733,493,260,1542,0.8,1446,2.6
SSC10551,28,0,412,0,1374,0.8,749,1.7
SSC10552,44,1517,471,285,1138,0.8,933,2.6
SSC10553,51,1624,425,320,1124,0.8,850,2.6
SSC10554,48,2123,556,70,2187,0.7,1125,2.3
SSC10555,40,1571,662,0,2062,0.7,1624,2.6
SSC10556,50,0,474,0,1375,1.1,1187,2.3
SSC10557,41,2700,1119,680,2536,1.1,2175,2.2
SSC10558,41,0,575,0,0,1,0,0
SSC10559,43,1733,756,250,2021,0.8,1681,2.7
SSC10560,54,1517,384,0,762,0.6,787,2.5
SSC10561,44,566,553,144,1350,0.8,1300,2.6
SSC10562,52,0,349,0,887,0.8,725,1.4
SSC10563,32,437,443,90,937,0.9,923,2.6
SSC10564,54,1200,602,215,1437,0.7,1281,2.3
SSC10565,38,0,687,0,0,0,0,0
SSC10566,47,938,458,0,875,0.6,714,2
SSC10567,36,2292,768,351,2125,0.8,2062,2.8
SSC10568,44,1300,553,270,1531,0.8,1323,2.5
SSC10569,40,2167,706,435,1712,1,1367,2.3
SSC10570,46,1827,624,348,1600,0.8,1333,2.6
SSC10571,0,0,0,0,0,0,0,0
SSC10572,55,1138,417,0,774,0.6,754,2.6
SSC10573,66,0,425,0,1125,0.8,1125,2.2
SSC10574,0,0,0,0,0,0,0,0
SSC10575,39,2167,610,400,1738,0.9,1700,3.4
SSC10576,33,889,450,0,1124,0.6,866,2.4
SSC10577,42,1650,656,260,1687,0.9,1625,2.8
SSC10578,35,1712,675,330,1493,0.9,1288,2.2
SSC10579,44,1517,582,200,1354,0.8,1275,2.7
SSC10580,48,1300,502,250,1196,0.9,945,2.2
SSC10581,37,2420,725,0,1312,0.8,1312,2
SSC10582,42,0,725,0,1624,0.6,1624,3
SSC10583,41,1376,544,230,1343,0.8,1196,2.6
SSC10584,41,697,543,100,1428,0.8,1050,2.5
SSC10585,26,0,537,0,762,1.3,725,3.1
SSC10586,44,2167,556,200,1166,0.7,1041,2
SSC10587,53,0,274,0,0,0,0,1
SSC10588,62,953,725,0,1625,0.7,1125,1.8
SSC10589,55,1083,494,150,1242,0.8,977,2.2
SSC10590,40,1734,525,350,1841,0.9,1662,2.7
SSC10591,47,1326,627,395,1625,0.9,1395,2.3
SSC10592,45,953,528,189,1282,0.7,968,2.2
SSC10593,45,1943,725,225,1875,0.8,1625,2.6
SSC10594,37,3500,1261,620,3397,1,2671,2.6
SSC10595,40,0,725,0,1375,1.2,3625,5
SSC10596,47,1733,560,103,1699,0.9,1399,2.4
SSC10597,58,1127,624,125,1343,0.6,850,1.8
SSC10598,47,2000,795,300,2113,0.8,1875,2.7
SSC10599,48,2167,770,425,2069,0.9,1631,2.5
SSC10600,17,0,225,0,0,0,0,0
SSC10601,35,2200,910,500,2232,1.2,1822,2.3
SSC10602,47,2000,612,0,2124,1,2124,2
SSC10603,61,1733,420,230,924,0.8,703,1.9
SSC10604,35,0,1062,0,0,0.8,0,3.4
SSC10605,50,1791,724,450,1625,0.8,1625,2.7
SSC10606,59,1517,700,0,1874,0.6,1541,2.3
SSC10607,48,2492,959,265,2125,0.8,1875,2.7
SSC10608,51,1517,587,270,1346,0.7,1002,2.2
SSC10609,32,2373,537,390,2468,0.8,2299,3
SSC10610,37,1560,782,155,2107,1,1974,2.7
SSC10611,57,0,724,0,1999,1.3,1749,2.9
SSC10612,50,1649,525,265,1259,0.8,875,2
SSC10613,43,1717,869,0,2274,0.7,2200,2.9
SSC10614,42,1517,537,0,1375,1.2,1374,5.3
SSC10615,49,1100,575,0,1374,0.7,1124,1.5
SSC10616,0,0,0,0,0,0,0,0
SSC10617,43,0,680,150,1375,0.9,1187,2.2
SSC10618,35,784,522,170,1281,0.7,850,2.5
SSC10619,32,0,833,0,1416,0.5,1687,1.6
SSC10620,47,1875,620,236,1775,0.9,1281,2.6
SSC10621,50,1733,530,310,1173,0.8,844,2
SSC10622,56,1500,431,225,977,0.7,918,2
SSC10623,46,0,899,0,1999,0.6,1437,2
SSC10624,0,0,0,0,0,0,0,0
SSC10625,43,1950,575,333,1408,0.9,1261,2.9
SSC10626,54,1625,457,0,875,0.7,774,1.8
SSC10627,55,0,450,0,1249,0.5,900,0
SSC10628,41,2084,617,200,1874,0.8,1812,2.9
SSC10629,45,1733,643,160,1403,0.8,1363,2.4
SSC10630,49,1733,532,275,1416,0.6,1312,2.3
SSC10631,43,0,374,0,0,0,0,1
SSC10632,69,0,665,0,1524,0.8,762,2
SSC10633,41,0,675,0,1375,0.8,1375,2
SSC10634,45,1850,575,230,1416,0.9,1321,2.3
SSC10635,46,1450,430,210,1125,0.8,959,2.3
SSC10636,62,0,474,0,0,0.7,1125,1.5
SSC10637,47,0,1036,0,2416,0.7,2416,2.6
SSC10638,61,0,487,0,1375,0.7,725,1.4
SSC10639,0,0,0,0,0,0,0,0
SSC10640,0,0,0,0,0,0,0,0
SSC10641,46,1950,568,280,1916,0.6,1687,2.6
SSC10642,45,1517,560,300,1286,0.8,1029,2.3
SSC10643,0,0,0,0,0,0,0,0
SSC10644,59,2188,464,0,1437,0.7,933,1.8
